station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2,source_file
ALIC,G13,14,855.9266564429358,-14.789899357026709,1.459458896797105,0.0228841596943381,-1.4365747371027668,12.58584095497785,-101.76468907683176,114.35053003180964,0.9972004855534284,phase31_ALIC_summary.csv
ALIC,G14,23,1325.4238126187047,-22.2462723503746,2.396783893512362,0.3791804612263769,-2.017603432285985,42.20987853879695,-40.60817966660505,82.818058205402,0.9746634893481488,phase31_ALIC_summary.csv
ALIC,G15,24,1139.0926683484267,-19.2467417173023,1.5549708977686474,0.187124968662357,-1.3678459291062903,23.189927849347747,-76.44697297814685,99.6369008274946,0.9833934550190068,phase31_ALIC_summary.csv
ALIC,G16,12,1124.0808205124797,-19.016598447767645,1.5354719958674288,0.190062366396153,-1.3454096294712758,12.292107750524115,-35.84967239580105,48.14178014632517,0.9846760895631924,phase31_ALIC_summary.csv
ALIC,G17,22,1445.2983917399904,-24.36202379461856,2.850417943193347,0.4694805414415978,-2.380937401751749,48.088487731593375,-29.269650764746476,77.35813849633985,0.9697324109795956,phase31_ALIC_summary.csv
ALIC,G18,27,1356.9470999325058,-22.77921063080024,2.738877755154029,0.4904687333103814,-2.2484090218436483,56.407605936800245,-34.46926231282003,90.87686824962029,0.9652934961660584,phase31_ALIC_summary.csv
ALIC,G19,27,1385.133909004349,-23.294256401200716,2.461959713732954,0.476936878440925,-1.9850228352920287,50.651713877627024,-35.980040866788514,86.63175474441553,0.9617467439424996,phase31_ALIC_summary.csv
ALIC,G20,16,1521.2326341968626,-25.28293778254348,3.167239945112726,0.4051478366084347,-2.762092108504292,38.891536923271325,-24.912103994225603,63.80364091749693,0.983587163974748,phase31_ALIC_summary.csv
ALIC,G21,16,1264.5727331046053,-21.213921591896757,2.252719542488734,0.3112430892315286,-1.9414764532572053,27.988421500625986,-33.34979311110122,61.3382146117272,0.980832310703944,phase31_ALIC_summary.csv
ALIC,G22,19,1379.815720485947,-23.1051989853948,2.673532809336314,0.4536992516032883,-2.219833557733026,39.36922840064245,-26.032188190470663,65.40141659111312,0.9707294339464896,phase31_ALIC_summary.csv
