time_utc,et,L_km,L_m,L_AU
1979-03-05 13:45:00,-657238449.8145592,372661.93544445885,372661935.44445884,0.0024910911746316646
1979-03-05 13:46:00,-657238389.8145592,373119.7486257835,373119748.6257835,0.002494151466727952
1979-03-05 13:47:00,-657238329.8145592,373581.3921012789,373581392.1012789,0.0024972373627593276
1979-03-05 13:48:00,-657238269.8145592,374046.8477400329,374046847.7400329,0.00250034874152813
1979-03-05 13:49:00,-657238209.8145592,374516.0973583725,374516097.3583725,0.0025034854814840126
1979-03-05 13:50:00,-657238149.8145592,374989.1227335958,374989122.7335958,0.002506647460815736
1979-03-05 13:51:00,-657238089.8145592,375465.90559693665,375465905.59693664,0.0025098345574041427
1979-03-05 13:52:00,-657238029.8145592,375946.4276417354,375946427.64173543,0.0025130466488767706
1979-03-05 13:53:00,-657237969.8145592,376430.6705232079,376430670.5232079,0.002516283612606312
1979-03-05 13:54:00,-657237909.8145592,376918.61586267524,376918615.86267525,0.002519545325738886
1979-03-05 13:55:00,-657237849.8145592,377410.2452489152,377410245.2489152,0.0025228316652030746
1979-03-05 13:56:00,-657237789.8145592,377905.5402416602,377905540.2416602,0.002526142507733302
1979-03-05 13:57:00,-657237729.8145592,378404.48237239226,378404482.37239224,0.0025294777298751504
1979-03-05 13:58:00,-657237669.8145592,378907.0531488656,378907053.1488656,0.0025328372080155926
1979-03-05 13:59:00,-657237609.8145592,379413.2340561085,379413234.05610853,0.002536220818389687
1979-03-05 14:00:00,-657237549.8145592,379923.0065588992,379923006.55889916,0.002539628437097128
1979-03-05 14:01:00,-657237489.8145592,380436.3521048426,380436352.1048426,0.002543059940122815
1979-03-05 14:02:00,-657237429.8145592,380953.25212627737,380953252.1262774,0.002546515203349598
1979-03-05 14:03:00,-657237369.8145592,381473.6880424043,381473688.0424043,0.0025499941025725063
1979-03-05 14:04:00,-657237309.8145592,381997.64126207307,381997641.26207304,0.002553496513517375
