model,Om_m0,n_TF,C_best,chi2_SN,chi2_BAO,chi2_tot,dof
TFGR,0.225,-0.39999999999999997,-19.412478585814267,1111.1374157135338,24.57944298872415,1135.716858702258,1059
TFGR,0.225,-0.37999999999999995,-19.410924779251538,1107.5340673668031,24.271906612908197,1131.8059739797113,1059
TFGR,0.225,-0.36,-19.409368409866385,1104.007206041373,23.966376346001244,1127.973582387374,1059
TFGR,0.225,-0.33999999999999997,-19.407809479528073,1100.557799301123,23.662936792717446,1124.2207360938403,1059
TFGR,0.225,-0.31999999999999995,-19.406247990194107,1097.1868205123446,23.361675068197624,1120.5484955805423,1059
TFGR,0.225,-0.29999999999999993,-19.404683943910833,1093.8952487949073,23.062680865841685,1116.957929660749,1059
TFGR,0.225,-0.2799999999999999,-19.40311734281402,1090.6840689714136,22.766046526813394,1113.450115498227,1059
TFGR,0.225,-0.2599999999999999,-19.401548189129446,1087.554271514329,22.471867111252973,1110.026138625582,1059
TFGR,0.225,-0.24,-19.39997648517346,1084.5068524910653,22.180240471232644,1106.6870929622978,1059
TFGR,0.225,-0.21999999999999997,-19.398402233353533,1081.5428135069924,21.891267325491327,1103.4340808324837,1059
TFGR,0.225,-0.2,-19.396825436168818,1078.6631616463712,21.605051335984456,1100.2682129823556,1059
TFGR,0.23,-0.8,-19.44007600640622,1183.635759748172,29.40629037386646,1213.0420501220385,1059
TFGR,0.23,-0.78,-19.438591084786747,1178.9862282906984,29.09118598279565,1208.077414273494,1059
TFGR,0.23,-0.76,-19.437103577623706,1174.3937153543322,28.776922423454213,1203.1706377777864,1059
TFGR,0.23,-0.74,-19.435613484908718,1169.8590453390839,28.46354616723666,1198.3225915063206,1059
TFGR,0.23,-0.72,-19.434120806706662,1165.383049001667,28.151105120976396,1193.5341541226433,1059
TFGR,0.23,-0.7000000000000001,-19.432625543156377,1160.9665634456512,27.839648667200645,1188.8062121128519,1059
TFGR,0.23,-0.68,-19.431127694471343,1156.6104321100859,27.529227705441023,1184.1396598155268,1059
TFGR,0.23,-0.66,-19.429627260940446,1152.3155047566202,27.21989469462441,1179.5353994512445,1059
TFGR,0.23,-0.64,-19.42812424292867,1148.0826374551011,26.911703696570275,1174.9943411516715,1059
TFGR,0.23,-0.62,-19.426618640877805,1143.9126925675764,26.60471042061992,1170.5174029881964,1059
TFGR,0.23,-0.6,-19.425110455307156,1139.806538730731,26.298972269424826,1166.105511000156,1059
TFGR,0.23,-0.5800000000000001,-19.423599686814246,1135.765050836668,25.994548385920567,1161.7595992225886,1059
TFGR,0.23,-0.56,-19.422086336075512,1131.7891100120892,25.691499701514353,1157.4806097136036,1059
TFGR,0.23,-0.54,-19.420570403847023,1127.8796035958076,25.389888985513863,1153.2694925813214,1059
TFGR,0.23,-0.52,-19.419051890965115,1124.0374251145,25.089780895826017,1149.1272060103258,1059
TFGR,0.23,-0.5,-19.417530798347137,1120.263474256842,24.791242030954827,1145.054716287797,1059
TFGR,0.23,-0.48,-19.416007126992106,1116.5586568458175,24.49434098332748,1141.052997829145,1059
TFGR,0.23,-0.45999999999999996,-19.41448087798137,1112.9238848093191,24.19914839397908,1137.1230332032983,1059
TFGR,0.23,-0.43999999999999995,-19.412952052479284,1109.3600761489254,23.905737008626154,1133.2658131575515,1059
TFGR,0.23,-0.42,-19.4114206517339,1105.868154906872,23.614181735160205,1129.4823366420321,1059
TFGR,0.23,-0.39999999999999997,-19.409886677077587,1102.4490511312088,23.32455970259257,1125.7736108338013,1059
TFGR,0.23,-0.37999999999999995,-19.408350129927697,1099.1037008390815,23.03695032148274,1122.1406511605642,1059
TFGR,0.23,-0.36,-19.40681101178721,1095.8330459781268,22.751435345882353,1118.5844813240092,1059
TFGR,0.23,-0.33999999999999997,-19.405269324245378,1092.638034385993,22.468098936828167,1115.1061333228213,1059
TFGR,0.23,-0.31999999999999995,-19.40372506897834,1089.51961974791,22.187027727417163,1111.7066474753271,1059
TFGR,0.23,-0.29999999999999993,-19.40217824774973,1086.478761552335,21.908310889497784,1108.387072441833,1059
