time_utc,et,L_km,L_m,L_AU
1986-01-24 04:42:00,-439802224.8154153,2677168768.137692,2677168768137.692,17.895767871632493
1986-01-24 04:43:00,-439802164.8154153,2677170287.4343233,2677170287434.323,17.89577802750319
1986-01-24 04:44:00,-439802104.8154153,2677171806.752495,2677171806752.4946,17.895788183517876
1986-01-24 04:45:00,-439802044.8154153,2677173326.092246,2677173326092.246,17.895798339676812
1986-01-24 04:46:00,-439801984.8154153,2677174845.453616,2677174845453.616,17.89580849598026
1986-01-24 04:47:00,-439801924.8154153,2677176364.8366494,2677176364836.6494,17.895818652428517
1986-01-24 04:48:00,-439801864.8154153,2677177884.241384,2677177884241.384,17.89582880902184
1986-01-24 04:49:00,-439801804.8154153,2677179403.6678653,2677179403667.865,17.89583896576053
1986-01-24 04:50:00,-439801744.8154153,2677180923.116132,2677180923116.132,17.895849122644844
1986-01-24 04:51:00,-439801684.8154153,2677182442.586226,2677182442586.226,17.89585927967507
1986-01-24 04:52:00,-439801624.8154153,2677183962.0781894,2677183962078.1895,17.89586943685148
1986-01-24 04:53:00,-439801564.8154153,2677185481.5920653,2677185481592.0654,17.895879594174367
1986-01-24 04:54:00,-439801504.8154153,2677187001.127894,2677187001127.894,17.895889751644
1986-01-24 04:55:00,-439801444.8154153,2677188520.685719,2677188520685.719,17.89589990926067
1986-01-24 04:56:00,-439801384.8154153,2677190040.265582,2677190040265.582,17.89591006702465
1986-01-24 04:57:00,-439801324.8154153,2677191559.867525,2677191559867.525,17.895920224936233
1986-01-24 04:58:00,-439801264.8154153,2677193079.4915915,2677193079491.5913,17.895930382995697
1986-01-24 04:59:00,-439801204.8154153,2677194599.1378236,2677194599137.8237,17.89594054120333
1986-01-24 05:00:00,-439801144.8154153,2677196118.806264,2677196118806.264,17.895950699559418
1986-01-24 05:01:00,-439801084.8154153,2677197638.496957,2677197638496.957,17.895960858064253
1986-01-24 05:02:00,-439801024.8154153,2677199158.209943,2677199158209.943,17.895971016718107
1986-01-24 05:03:00,-439800964.8154153,2677200677.9452677,2677200677945.2676,17.89598117552129
1986-01-24 05:04:00,-439800904.8154153,2677202197.7029734,2677202197702.973,17.89599133447408
1986-01-24 05:05:00,-439800844.8154153,2677203717.4831023,2677203717483.1025,17.896001493576758
1986-01-24 05:06:00,-439800784.8154153,2677205237.2857,2677205237285.6997,17.89601165282963
1986-01-24 05:07:00,-439800724.8154153,2677206757.1108084,2677206757110.8086,17.896021812232977
1986-01-24 05:08:00,-439800664.8154153,2677208276.9584727,2677208276958.4727,17.896031971787103
1986-01-24 05:09:00,-439800604.8154153,2677209796.8287373,2677209796828.7373,17.8960421314923
1986-01-24 05:10:00,-439800544.8154153,2677211316.7216444,2677211316721.6445,17.896052291348855
1986-01-24 05:11:00,-439800484.8154153,2677212836.637239,2677212836637.239,17.896062451357064
1986-01-24 05:12:00,-439800424.8154153,2677214356.5755663,2677214356575.5664,17.896072611517233
1986-01-24 05:13:00,-439800364.8154153,2677215876.5366683,2677215876536.6685,17.896082771829644
1986-01-24 05:14:00,-439800304.8154153,2677217396.5205927,2677217396520.593,17.89609293229461
1986-01-24 05:15:00,-439800244.8154153,2677218916.527383,2677218916527.383,17.896103092912426
1986-01-24 05:16:00,-439800184.8154153,2677220436.5570836,2677220436557.0835,17.89611325368339
1986-01-24 05:17:00,-439800124.8154153,2677221956.6097383,2677221956609.7383,17.89612341460779
1986-01-24 05:18:00,-439800064.8154153,2677223476.685395,2677223476685.3945,17.896133575685948
1986-01-24 05:19:00,-439800004.8154153,2677224996.7840977,2677224996784.0977,17.896143736918162
1986-01-24 05:20:00,-439799944.8154153,2677226516.905892,2677226516905.892,17.896153898304732
1986-01-24 05:21:00,-439799884.8154153,2677228037.050822,2677228037050.822,17.896164059845955
1986-01-24 05:22:00,-439799824.8154153,2677229557.218935,2677229557218.935,17.896174221542147
1986-01-24 05:23:00,-439799764.8154153,2677231077.410276,2677231077410.276,17.896184383393607
1986-01-24 05:24:00,-439799704.8154153,2677232597.6248913,2677232597624.891,17.896194545400647
1986-01-24 05:25:00,-439799644.8154153,2677234117.8628273,2677234117862.827,17.89620470756358
1986-01-24 05:26:00,-439799584.8154153,2677235638.124129,2677235638124.129,17.896214869882698
1986-01-24 05:27:00,-439799524.8154153,2677237158.408844,2677237158408.8438,17.896225032358327
1986-01-24 05:28:00,-439799464.8154153,2677238678.717018,2677238678717.018,17.89623519499077
1986-01-24 05:29:00,-439799404.8154153,2677240199.048698,2677240199048.6978,17.896245357780337
1986-01-24 05:30:00,-439799344.8154153,2677241719.403931,2677241719403.931,17.89625552072735
1986-01-24 05:31:00,-439799284.8154153,2677243239.7827625,2677243239782.7627,17.89626568383211
1986-01-24 05:32:00,-439799224.8154153,2677244760.1852417,2677244760185.2417,17.89627584709494
1986-01-24 05:33:00,-439799164.8154153,2677246280.611415,2677246280611.415,17.896286010516157
1986-01-24 05:34:00,-439799104.8154153,2677247801.0613294,2677247801061.3296,17.896296174096076
1986-01-24 05:35:00,-439799044.8154153,2677249321.535031,2677249321535.031,17.896306337835
1986-01-24 05:36:00,-439798984.8154153,2677250842.03257,2677250842032.57,17.89631650173327
1986-01-24 05:37:00,-439798924.8154153,2677252362.553992,2677252362553.9917,17.896326665791186
1986-01-24 05:38:00,-439798864.8154153,2677253883.0993466,2677253883099.3467,17.896336830009083
1986-01-24 05:39:00,-439798804.8154153,2677255403.6686807,2677255403668.6807,17.896346994387272
1986-01-24 05:40:00,-439798744.8154153,2677256924.262044,2677256924262.044,17.896357158926087
1986-01-24 05:41:00,-439798684.8154153,2677258444.8794823,2677258444879.4824,17.896367323625835
1986-01-24 05:42:00,-439798624.8154153,2677259965.521046,2677259965521.0464,17.89637748848685
1986-01-24 05:43:00,-439798564.8154153,2677261486.186783,2677261486186.7827,17.89638765350945
1986-01-24 05:44:00,-439798504.8154153,2677263006.8767433,2677263006876.743,17.896397818693977
1986-01-24 05:45:00,-439798444.8154153,2677264527.5909743,2677264527590.974,17.896407984040742
1986-01-24 05:46:00,-439798384.8154153,2677266048.3295255,2677266048329.5254,17.896418149550076
1986-01-24 05:47:00,-439798324.8154153,2677267569.092447,2677267569092.447,17.896428315222316
1986-01-24 05:48:00,-439798264.8154153,2677269089.8797865,2677269089879.7866,17.896438481057782
1986-01-24 05:49:00,-439798204.8154153,2677270610.691594,2677270610691.594,17.896448647056808
1986-01-24 05:50:00,-439798144.8154153,2677272131.5279202,2677272131527.9204,17.89645881321973
1986-01-24 05:51:00,-439798084.8154153,2677273652.388815,2677273652388.815,17.89646897954688
1986-01-24 05:52:00,-439798024.8154153,2677275173.274327,2677275173274.3267,17.896479146038587
1986-01-24 05:53:00,-439797964.8154153,2677276694.1845083,2677276694184.5083,17.896489312695202
1986-01-24 05:54:00,-439797904.8154153,2677278215.1194067,2677278215119.4067,17.896499479517036
1986-01-24 05:55:00,-439797844.8154153,2677279736.0790753,2677279736079.075,17.89650964650445
1986-01-24 05:56:00,-439797784.8154153,2677281257.063562,2677281257063.562,17.896519813657765
1986-01-24 05:57:00,-439797724.8154153,2677282778.07292,2677282778072.92,17.89652998097733
1986-01-24 05:58:00,-439797664.8154153,2677284299.107198,2677284299107.198,17.89654014846348
1986-01-24 05:59:00,-439797604.8154153,2677285820.1664495,2677285820166.4497,17.896550316116564
1986-01-24 06:00:00,-439797544.8154153,2677287341.2507224,2677287341250.722,17.896560483936906
1986-01-24 06:01:00,-439797484.8154153,2677288862.360072,2677288862360.0723,17.896570651924876
1986-01-24 06:02:00,-439797424.8154153,2677290383.494547,2677290383494.547,17.896580820080796
