z,mu_SN,mu_err,mu_model,residual
0.35157,22.2272,0.1136,22.00932499104807,0.21787500895192835
0.34957,22.14445,0.11065,21.99479568337875,0.14965431662124828
0.35527,22.23665,0.113,22.036005184573494,0.20064481542650725
0.87217,24.3402,0.1332,24.400145353781706,-0.059945353781706956
0.92624,24.7687,0.10935,24.562328536950442,0.20637146304955678
0.41957,22.59095,0.12095,22.46302534268725,0.12792465731275016
0.89073,24.1804,0.14085,24.456894925228337,-0.27649492522833796
0.48057,22.7752,0.1151,22.815643480371005,-0.040443480371003204
0.5806,23.36785,0.1608,23.312618716052764,0.05523128394723642
0.80569,24.09575,0.1555,24.18678141690383,-0.09103141690383154
0.66464,23.6337,0.1611,23.671561607181058,-0.03786160718105691
0.74566,24.00735,0.1527,23.978980576585425,0.028369423414574158
0.73669,23.77845,0.1399,23.946558590740683,-0.16810859074068318
0.37053,22.04575,0.11295,22.143417032421286,-0.09766703242128472
0.85073,24.31865,0.1304,24.333109296741593,-0.014459296741591743
0.21946,20.8469,0.1023,20.83226589448203,0.014634105517970397
0.64764,23.6259,0.1613,23.60255238350617,0.0233476164938331
0.6006,23.4022,0.15455,23.40227987823501,-7.987823500954505e-05
0.7607,23.92525,0.14995,24.032513063459643,-0.10726306345964431
0.47057,22.804,0.1221,22.760782014829093,0.04321798517090514
0.49737,22.9275,0.13225,22.9054717844658,0.02202821553419909
0.50736,22.9705,0.1253,22.95756105984287,0.01293894015713093
0.58728,23.44375,0.14055,23.342883867083405,0.10086613291659674
0.69915,23.77905,0.15635,23.806644627021324,-0.027594627021322538
0.76108,24.05415,0.16035,24.03385245610259,0.02029754389741001
0.78805,24.1069,0.13815,24.127307455206758,-0.02040745520675813
0.40547,22.564,0.11045,22.37480936204309,0.1891906379569086
0.80804,24.55735,0.16345,24.194609550384552,0.3627404496154476
0.58328,23.6081,0.12955,23.324800088586816,0.28329991141318445
0.72013,24.0226,0.19335,23.885697785845533,0.13690221415446757
0.83699,24.3054,0.1427,24.289281112277276,0.01611888772272252
0.80603,24.2544,0.1837,24.187915373905394,0.06648462609460637
0.50074,23.0505,0.13595,22.923151245878028,0.12734875412197155
0.53378,22.9345,0.1665,23.090853013550987,-0.15635301355098719
0.82212,24.1676,0.18525,24.241056236796613,-0.07345623679661273
0.12531,19.4684,0.10355,19.488377147592875,-0.01997714759287561
0.44368,22.57415,0.1349,22.60772502455931,-0.03357502455931183
0.68366,23.9441,0.2905,23.746814224705158,0.1972857752948407
0.72668,23.90005,0.1628,23.909928441878076,-0.00987844187807596
0.40455,22.44625,0.1075,22.368955872336624,0.07729412766337518
0.69065,23.7527,0.18375,23.77397123091193,-0.021271230911928285
0.57661,23.2437,0.1229,23.294385018728445,-0.05068501872844422
0.72068,23.87645,0.2029,23.887740508129294,-0.011290508129295773
0.55031,23.16815,0.1249,23.171154761772424,-0.003004761772423592
0.84797,24.3105,0.16975,24.324360716875486,-0.013860716875484513
0.43544,22.36675,0.109,22.55910547609926,-0.19235547609925874
0.30158,21.64245,0.0939,21.62112119961669,0.021328800383308533
0.58073,23.52355,0.1372,23.31321086286081,0.21033913713919006
0.34593,22.11525,0.111,21.96815577517324,0.14709422482675905
0.33094,21.7829,0.10685,21.85566914681259,-0.07276914681258972
0.44956,22.78895,0.14135,22.64191253286486,0.14703746713513866
0.29172,21.47215,0.12535,21.537642406194568,-0.06549240619456853
0.46127,22.62945,0.13775,22.708783250178993,-0.07933325017899406
0.63222,23.66065,0.20445,23.53845828552119,0.12219171447880939
0.26862,21.1762,0.0993,21.33147139657412,-0.15527139657411837
0.92491,24.7416,0.1923,24.558451320607116,0.18314867939288249
0.62522,23.46015,0.1303,23.508873639849238,-0.04872363984923922
0.60825,23.3767,0.1266,23.435834893067902,-0.05913489306790254
0.57828,23.2373,0.13895,23.302031001286604,-0.06473100128660292
0.71963,23.82525,0.2057,23.883839460329458,-0.058589460329457665
0.7666,24.24705,0.1593,24.053236318922455,0.19381368107754682
0.36791,22.24455,0.1019,22.12526747411894,0.11928252588106147
0.84852,24.33175,0.14855,24.32610629666365,0.005643703336350114
0.7766,24.0942,0.17835,24.088013084608082,0.006186915391918291
0.58375,23.2686,0.09915,23.326930977078792,-0.058330977078792756
0.58873,23.30085,0.13005,23.349410668673,-0.04856066867299802
0.76859,24.2078,0.16885,24.060191526656705,0.1476084733432934
0.5138,23.12745,0.1329,22.99063700695503,0.13681299304496974
0.63771,23.37,0.2329,23.56144542115423,-0.1914454211542278
0.43487,22.5623,0.1145,22.5557109034259,0.006589096574099784
0.58375,23.46355,0.14025,23.326930977078792,0.13661902292120942
0.66206,23.74875,0.17955,23.66119680748393,0.08755319251607219
0.62189,23.4108,0.1628,23.494689946581897,-0.0838899465818983
0.41664,22.5154,0.11755,22.444921045003387,0.07047895499661294
0.45169,22.36265,0.1377,22.65419482363283,-0.29154482363283307
0.73401,24.04855,0.24055,23.93679841348244,0.11175158651755979
0.74202,24.26275,0.21515,23.965869109519897,0.2968808904801037
0.34957,21.74,0.12,21.99479568337875,-0.25479568337875236
0.51476,23.18845,0.1355,22.995534458859648,0.19291554114035137
0.64364,23.60755,0.1943,23.586065878637708,0.02148412136229183
0.47058,22.65205,0.12925,22.760837411023022,-0.10878741102302314
0.26349,21.15515,0.1079,21.283487526944715,-0.12833752694471556
