z,mu_SN,mu_err,mu_TFGR,delta_mu_data,delta_mu_model
0.49737,22.9275,0.13225,42.95893503385539,-0.22516817996218563,-0.25016393644829144
0.50736,22.9705,0.1253,43.01650496072195,-0.23973810682874586,-0.25608456473714647
0.58728,23.44375,0.14055,43.446373179519036,-0.19635632562582828,-0.3033555895818638
0.69915,23.77905,0.15635,43.97287868776155,-0.3875618338683431,-0.36889244269773963
0.76108,24.05415,0.16035,44.23493901659378,-0.3745221627005719,-0.40470211072047463
0.78805,24.1069,0.13815,44.34353351055388,-0.4303666566606772,-0.42017427400698726
0.40547,22.564,0.11045,42.377729948806675,-0.0074630949134686375,-0.19578455780766693
0.80804,24.55735,0.16345,44.42208214777998,-0.05846529388677624,-0.43159148396973357
0.58328,23.6081,0.12955,43.426021289381126,-0.011654435487919557,-0.30099610264709914
0.72013,24.0226,0.19335,44.06372184525284,-0.2348549913596365,-0.3810658857432979
0.83699,24.3054,0.1427,44.53302692782816,-0.4213600739349559,-0.4480474894795537
0.80603,24.2544,0.1837,44.41426945968852,-0.353602605795313,-0.4304454659273018
0.50074,23.0505,0.13595,42.97841747916061,-0.12165062526740655,-0.2521612731380332
0.53378,22.9345,0.1665,43.164485758388864,-0.42371890449565797,-0.27173512879167744
0.82212,24.1676,0.18525,44.47644977132709,-0.5025829174338838,-0.4396067149486576
0.12531,19.4684,0.10355,39.344242876271856,-0.06957602237865146,-0.04171630545245433
0.44368,22.57415,0.1349,42.63155848160895,-0.251141627715743,-0.21835607264458065
0.68366,23.9441,0.2905,43.90433613194366,-0.1539692780504538,-0.3598782814998985
0.72668,23.90005,0.1628,44.09163795110367,-0.3853210972104648,-0.3848578012928969
0.40455,22.44625,0.1075,42.37135222149503,-0.11883536760182523,-0.19524234167359306
0.69065,23.7527,0.18375,43.93541899223639,-0.37645213834318625,-0.363948693675543
0.57661,23.2437,0.1229,43.39187539814329,-0.3419085442500851,-0.2970597370111284
0.72068,23.87645,0.2029,44.06607539959715,-0.383358545703949,-0.38138445178619534
0.55031,23.16815,0.1249,43.254023756112794,-0.2796069022195873,-0.28151765645994353
0.84797,24.3105,0.16975,44.57424680886794,-0.45747995497473326,-0.45426402606575556
0.43544,22.36675,0.109,42.57839897228454,-0.40538211839133353,-0.21348139032246694
0.30158,21.64245,0.0939,41.56825606803169,-0.11953921413848079,-0.1352810587531214
0.58073,23.52355,0.1372,43.41304695941821,-0.0832301055250042,-0.2994914736534738
0.34593,22.11525,0.111,41.93889632635587,-0.017379472462661028,-0.1608886812391289
0.33094,21.7829,0.10685,41.81838227316663,-0.22921541927341949,-0.15218672022909221
0.44956,22.78895,0.14135,42.66893787660574,-0.07372102271253311,-0.22183635807659027
0.29172,21.47215,0.12535,41.47940808430562,-0.20099123041241285,-0.12965229988737853
0.46127,22.62945,0.13775,42.74227437348699,-0.3065575195937882,-0.2287708114270446
0.63222,23.66065,0.20445,43.66711079275622,-0.20019393886301273,-0.32979645554974263
0.26862,21.1762,0.0993,41.26103763043953,-0.27857077654632434,-0.11658070689757875
0.92491,24.7416,0.1923,44.85142676069051,-0.3035599067973038,-0.49743145247550363
0.62522,23.46015,0.1303,43.63361151064497,-0.36719465675176366,-0.3256868791085362
0.60825,23.3767,0.1266,43.55103357988033,-0.3680667259871271,-0.3157098611850771
0.57828,23.2373,0.13895,43.400464406204485,-0.3568975523112776,-0.2980455235295708
0.71963,23.82525,0.2057,44.06158225039438,-0.43006539650117404,-0.38077625477280935
0.7666,24.24705,0.1593,44.25740481036696,-0.20408795647374944,-0.4078751042153414
0.36791,22.24455,0.1019,42.107815324169124,-0.05699847027591787,-0.1737175267709785
0.84852,24.33175,0.14855,44.57630149502189,-0.43828464112868204,-0.4545750561816884
0.7766,24.0942,0.17835,44.29782756526433,-0.39736071137112106,-0.41361509616064146
0.58375,23.2686,0.09915,43.42841263647233,-0.3535457825791255,-0.3012733880392861
0.58873,23.30085,0.13005,43.453708185186585,-0.3465913312933786,-0.3042106831201005
0.76859,24.2078,0.16885,44.26550115449695,-0.25143430060374783,-0.40901820622191615
0.5138,23.12745,0.1329,43.05317321877486,-0.11945636488165334,-0.2599006885959026
0.63771,23.37,0.2329,43.69315500312802,-0.5168881492348127,-0.3330170198494866
0.43487,22.5623,0.1145,42.57467964028607,-0.20611278639286468,-0.21314430366169584
0.58375,23.46355,0.14025,43.42841263647233,-0.15859578257912332,-0.3012733880392861
0.66206,23.74875,0.17955,43.806593227820514,-0.2515763739273069,-0.347273168431887
0.62189,23.4108,0.1628,43.617524857771485,-0.40045800387828123,-0.3237306632239543
0.41664,22.5154,0.11755,42.45392160659381,-0.13225475270060372,-0.20237316164303096
0.45169,22.36265,0.1377,42.68244411616383,-0.5135272622706246,-0.22309738763971732
0.73401,24.04855,0.24055,44.122631903593685,-0.26781504970048076,-0.3890962674914743
0.74202,24.26275,0.21515,44.15620687659825,-0.08719002270504106,-0.3937218030151976
0.34957,21.74,0.12,41.96741759460366,-0.42115074071045555,-0.1630078976914047
0.51476,23.18845,0.1355,43.05858542108971,-0.06386856719650424,-0.26046949885749004
0.64364,23.60755,0.1943,43.72110361237132,-0.30728675847811715,-0.33649314218584964
0.47058,22.65205,0.12925,42.79943117469722,-0.3411143208040137,-0.23428651762725686
0.26349,21.15515,0.1079,41.21053610413702,-0.24911925024381532,-0.11370231313729327
0.7427,23.92255,0.19885,44.15904310668242,-0.4302262527892111,-0.39411418494274786
0.91075,24.6116,0.16365,44.801897839918894,-0.38403098602568875,-0.4895393978813135
0.33753,21.9137,0.10655,41.87187534534294,-0.1519084914497384,-0.1560071197327914
0.98377,24.92305,0.1439,45.050800371654645,-0.3214835177614397,-0.5299787075755
0.81369,24.26675,0.14105,44.44400054519642,-0.37098369130321274,-0.43481047827444397
0.81773,24.3431,0.12085,44.459564575555035,-0.31019772166182946,-0.4371100224319441
0.96075,24.5736,0.1577,44.974038257718576,-0.5941714038253707,-0.5172993762473687
0.75669,24.03965,0.1583,44.21693109237104,-0.37101423847783366,-0.4021763890103817
0.87796,24.42165,0.14325,44.684676768426684,-0.4567599145334782,-0.47117262729398834
0.80902,24.20795,0.1668,44.42588392290708,-0.41166706901387684,-0.43215007682443435
0.62723,23.4134,0.138,43.64324455984488,-0.42357770595167565,-0.32686727689146805
0.93389,24.7653,0.2009,44.88252505862761,-0.3109582047344013,-0.5024240200559614
0.69715,23.78265,0.16195,43.96409098924188,-0.3751741353486757,-0.3677298036279843
0.76706,24.3849,0.17855,44.25927632710052,-0.06810947320731842,-0.4081393759316939
0.86397,24.39625,0.15285,44.63355996995071,-0.43104311605750567,-0.46329793462104213
0.51434,22.98745,0.11725,43.05621758257696,-0.26250072868375796,-0.2602206462346291
0.47039,23.1005,0.141,42.798274930518204,0.10849192337500213,-0.23417393550882484
0.9279,24.7789,0.1829,44.86181613004955,-0.2766492761563413,-0.49909486133881065
0.63071,23.4092,0.1432,43.65988874632413,-0.444421892430924,-0.32891026228859105
0.6157,23.56625,0.1433,43.58750467262182,-0.21498781872861272,-0.3200922820254225
0.56475,23.2891,0.13595,43.33038619568047,-0.23501934178726103,-0.29005489220596653
0.55775,23.2494,0.1349,43.293581284529594,-0.23791443063638695,-0.28591743557665217
0.73561,24.06925,0.19205,44.12936204535777,-0.25384519146456697,-0.3900207342200795
0.26199,21.15835,0.1082,41.19542493165055,-0.23080807775734513,-0.11286250819332526
