time,Bx,By,Bz,B_total
2019-03-06 19:35:19+00:00,-145365632.0,-17407289.0,623086.51,146405494.8213621
2019-03-06 19:35:20+00:00,-145365632.0,-17407319.9,623086.14,146405498.49373218
2019-03-06 19:35:21+00:00,-145365632.0,-17407351.0,623085.77,146405502.18988833
2019-03-06 19:35:22+00:00,-145365632.0,-17407381.9,623085.39,146405505.86222878
2019-03-06 19:35:23+00:00,-145365632.0,-17407413.0,623085.02,146405509.5583979
2019-03-06 19:35:24+00:00,-145365632.0,-17407443.9,623084.64,146405513.23075125
2019-03-06 19:35:25+00:00,-145365632.0,-17407475.0,623084.27,146405516.92693335
2019-03-06 19:35:26+00:00,-145365632.0,-17407506.0,623083.9,146405520.61123207
2019-03-06 19:35:27+00:00,-145365632.0,-17407537.0,623083.52,146405524.2954947
2019-03-06 19:35:28+00:00,-145365632.0,-17407568.0,623083.15,146405527.97980636
2019-03-06 19:35:29+00:00,-145365632.0,-17407599.0,623082.78,146405531.6641245
2019-03-06 19:35:30+00:00,-145365632.0,-17407630.0,623082.4,146405535.34840652
2019-03-06 19:35:31+00:00,-145365632.0,-17407661.0,623082.03,146405539.03273758
2019-03-06 19:35:32+00:00,-145365632.0,-17407692.1,623081.65,146405542.72892267
2019-03-06 19:35:33+00:00,-145365632.0,-17407723.0,623081.28,146405546.4013766
2019-03-06 19:35:34+00:00,-145365632.0,-17407754.1,623080.9,146405550.09757462
2019-03-06 19:35:35+00:00,-145365632.0,-17407785.0,623080.53,146405553.7700415
2019-03-06 19:35:36+00:00,-145365632.0,-17407816.1,623080.15,146405557.4662525
2019-03-06 19:35:37+00:00,-145365632.0,-17407847.0,623079.78,146405561.13873228
2019-03-06 19:35:38+00:00,-145365632.0,-17407878.2,623079.41,146405564.84688902
2019-03-06 19:35:39+00:00,-145365632.0,-17407909.0,623079.03,146405568.50744894
2019-03-06 19:35:40+00:00,-145365632.0,-17407940.2,623078.66,146405572.21561873
2019-03-06 19:35:41+00:00,-145365632.0,-17407971.0,623078.28,146405575.87619153
2019-03-06 19:35:42+00:00,-145365632.0,-17408002.2,623077.91,146405579.5843743
2019-03-06 19:35:43+00:00,-145365632.0,-17408033.0,623077.54,146405583.24500254
2019-03-06 19:35:44+00:00,-145365637.6,-17408064.2,623077.17,146405592.51342016
2019-03-06 19:35:45+00:00,-145365648.0,-17408095.0,623076.79,146405606.50014454
2019-03-06 19:35:46+00:00,-145365648.0,-17408126.3,623076.42,146405610.22024333
2019-03-06 19:35:47+00:00,-145365648.0,-17408157.0,623076.04,146405613.868964
2019-03-06 19:35:48+00:00,-145365648.0,-17408188.3,623075.67,146405617.5890758
2019-03-06 19:35:49+00:00,-145365648.0,-17408219.0,623075.29,146405621.23780927
2019-03-06 19:35:50+00:00,-145365648.0,-17408250.3,623074.92,146405624.9579342
2019-03-06 19:35:51+00:00,-145365648.0,-17408281.0,623074.55,146405628.60672304
2019-03-06 19:35:52+00:00,-145365648.0,-17408312.4,623074.17,146405632.33870894
2019-03-06 19:35:53+00:00,-145365648.0,-17408343.0,623073.8,146405635.97562015
2019-03-06 19:35:54+00:00,-145365648.0,-17408374.4,623073.42,146405639.70761916
2019-03-06 19:35:55+00:00,-145365648.0,-17408405.0,623073.05,146405643.34454313
2019-03-06 19:35:56+00:00,-145365648.0,-17408436.4,623072.68,146405647.0765978
2019-03-06 19:35:57+00:00,-145365648.0,-17408467.0,623072.3,146405650.713492
2019-03-06 19:35:58+00:00,-145365648.0,-17408498.5,623071.93,146405654.4574504
2019-03-06 19:35:59+00:00,-145365648.0,-17408529.0,623071.55,146405658.08246675
2019-03-06 19:36:00+00:00,-145365648.0,-17408560.5,623071.18,146405661.8264383
2019-03-06 19:36:01+00:00,-145365648.0,-17408591.0,623070.81,146405665.45150998
2019-03-06 19:36:02+00:00,-145365648.0,-17408622.5,623070.43,146405669.1954521
