z,H_TFGR,q_TFGR,j_TFGR,H_LCDM,q_LCDM,j_LCDM,Omega_r_TFGR,Omega_m_TFGR,Omega_TF_TFGR
1.704367959949937505e+00,1.864345025358268231e+02,4.081792482862110494e-01,1.056826791934442955e+00,1.902918904922545096e+02,3.664173937040841600e-01,1.000000000000000000e+00,7.540612635520136438e-04,9.480249485444675051e-01,5.122099019198052272e-02
1.708110137672090412e+00,1.867979424935269606e+02,4.086144479662560114e-01,1.056568512061910159e+00,1.906518493466837469e+02,3.669233365920583356e-01,1.000000000000000000e+00,7.552960181147287113e-04,9.482651484025511612e-01,5.097955557933407655e-02
1.711852315394242874e+00,1.871616997618656342e+02,4.090471124881308596e-01,1.056311751918058706e+00,1.910121237633257749e+02,3.674268643986707827e-01,1.000000000000000000e+00,7.565301786683661760e-04,9.485039405984408978e-01,5.073952922289078071e-02
1.715594493116395780e+00,1.875257738643227867e+02,4.094772590812603141e-01,1.056056501172119910e+00,1.913727133329717276e+02,3.679279905833245934e-01,1.000000000000000000e+00,7.577637482069996683e-04,9.487413347002134900e-01,5.050090155157958144e-02
1.719336670838548242e+00,1.878901643266273993e+02,4.099049048453564659e-01,1.055802749571117305e+00,1.917336176479414576e+02,3.684267285241225598e-01,1.000000000000000000e+00,7.589967297092063171e-04,9.489773402039028971e-01,5.026366306638783282e-02
1.723078848560701148e+00,1.882548706767431099e+02,4.103300667514420130e-01,1.055550486939252464e+00,1.920948363020764305e+02,3.689230915183485671e-01,1.000000000000000000e+00,7.602291261381269229e-04,9.492119665340690293e-01,5.002780433979275854e-02
1.726821026282853611e+00,1.886198924448534626e+02,4.107527616428650608e-01,1.055299703177296378e+00,1.924563688907316532e+02,3.694170927829448781e-01,1.000000000000000000e+00,7.614609404415224447e-04,9.494452230443608531e-01,4.979331601519763895e-02
1.730563204005006517e+00,1.889852291633472703e+02,4.111730062363061489e-01,1.055050388261985495e+00,1.928182150107683697e+02,3.699087454549890852e-01,1.000000000000000000e+00,7.626921755518356908e-04,9.496771190180760547e-01,4.956018880637209217e-02
1.734305381727158979e+00,1.893508803668040912e+02,4.115908171227788959e-01,1.054802532245421087e+00,1.931803742605461025e+02,3.703980625921677872e-01,1.000000000000000000e+00,7.639228343862485655e-04,9.499076636687169284e-01,4.932841349689676830e-02
1.738047559449311885e+00,1.897168455919803023e+02,4.120062107686222053e-01,1.054556125254474175e+00,1.935428462399156615e+02,3.708850571732493773e-01,1.000000000000000000e+00,7.651529198467432171e-04,9.501368661405414917e-01,4.909798093961176280e-02
1.741789737171464347e+00,1.900831243777946042e+02,4.124192035164845338e-01,1.054311157490195550e+00,1.939056305502114128e+02,3.713697420985540010e-01,1.000000000000000000e+00,7.663824348201619951e-04,9.503647355091100479e-01,4.886888205606974844e-02
1.745531914893617254e+00,1.904497162653141231e+02,4.128298115863017759e-01,1.054067619227228914e+00,1.942687267942438041e+02,3.718521301904206822e-01,1.000000000000000000e+00,7.676113821782678398e-04,9.505912807818287513e-01,4.864110783599299992e-02
