p,q,dAIC,AIC,chi2,sqrtA
0.2,0.52,11.83237381427989,1151.6356316613167,1145.6356316613167,2.410270807355774
0.20625000000000002,0.52,13.377004020042705,1153.1802618670795,1147.1802618670795,2.400831158170316
0.21250000000000002,0.52,14.837394540631067,1154.6406523876678,1148.6406523876678,2.391589454695062
0.21875,0.52,16.214958740655675,1156.0182165876925,1150.0182165876925,2.382542140346187
0.225,0.52,17.5111410947668,1157.3143989418036,1151.3143989418036,2.373685694080901
0.23125,0.52,18.727414561057003,1158.5306724080938,1152.5306724080938,2.3650166311948193
0.23750000000000002,0.52,19.86527798201064,1159.6685358290474,1153.6685358290474,2.356531504077003
0.24375000000000002,0.52,20.926253518579642,1160.7295113656164,1154.7295113656164,2.34822690292195
0.25,0.52,21.911884122619767,1161.7151419696565,1155.7151419696565,2.3400994563980304
0.25625,0.52,22.823731052581024,1162.6269888996178,1156.6269888996178,2.3321458322719715
0.2625,0.52,23.66337143702367,1163.4666292840604,1157.4666292840604,2.324362737989148
0.26875,0.52,24.43239589018731,1164.235653737224,1158.235653737224,2.316746921209587
0.275,0.52,25.132406183471858,1164.9356640305086,1158.9356640305086,2.3092951702997055
0.28125,0.52,25.765012976381286,1165.568270823418,1159.568270823418,2.3020043147799205
0.2875,0.52,26.33183361011379,1166.1350914571506,1160.1350914571506,2.294871225728429
0.29375,0.52,26.834489966644014,1166.6377478136808,1160.6377478136808,2.287892816141522
0.3,0.52,27.27460639582273,1167.0778642428595,1161.0778642428595,2.281066041250929
0.30625,0.52,27.653807712677235,1167.457065559714,1161.457065559714,2.274387898798782
0.3125,0.52,27.97371726678125,1167.776975113818,1161.776975113818,2.267855429270883
0.31875,0.52,28.235955085255455,1168.0392129322922,1162.0392129322922,2.261465716089039
0.325,0.52,28.44213609065605,1168.2453939376928,1162.2453939376928,2.25521588576332
0.33125,0.52,28.59386839470517,1168.397126241742,1162.397126241742,2.249103108005132
0.3375,0.52,28.692751668569827,1168.4960095156066,1162.4960095156066,2.2431245958021315
0.34375,0.52,28.74037559009048,1168.5436334371273,1162.5436334371273,2.2372776054559824
0.35,0.52,28.73831836814088,1168.5415762151777,1162.5415762151777,2.231559436584063
0.35625,0.52,28.68814534403623,1168.491403191073,1162.491403191073,2.2259674320862697
0.3625,0.52,28.59140766969267,1168.3946655167294,1162.3946655167294,2.2204989780780795
0.36875,0.52,28.44964106202724,1168.252898909064,1162.252898909064,2.2151515037910916
0.375,0.52,28.264364632883144,1168.06762247992,1162.06762247992,2.209922481442276
0.38125,0.52,28.03707979358137,1167.8403376406181,1161.8403376406181,2.204809426073194
0.38749999999999996,0.52,27.769269233038813,1167.5725270800756,1161.5725270800756,2.1998098953604606
0.39375,0.52,27.4623959682217,1167.2656538152585,1161.2656538152585,2.1949214893987374
0.4,0.52,27.117902465572797,1166.9211603126096,1160.9211603126096,2.1901418504575423
0.40625,0.52,26.737209831905147,1166.540467678942,1160.540467678942,2.1854686627131694
0.4125,0.52,26.321717073165246,1166.124974920202,1160.124974920202,2.1808996519570174
0.41874999999999996,0.52,25.872800419336727,1165.6760582663735,1159.6760582663735,2.1764325852815993
0.425,0.52,25.391812713677155,1165.195070560714,1159.195070560714,2.1720652707455073
0.43125,0.52,24.88008286441459,1164.6833407114514,1158.6833407114514,2.1677955570186036
