L_m,dt_tfgr
3084925.0872493493,6.754425024927099e-19
3153184.4392851177,6.761886766711274e-19
3222954.148625704,6.76938489173331e-19
3294267.63456268,6.776919585001017e-19
3367159.055847789,6.784491032520779e-19
3441663.3270547357,6.792099421303315e-19
3517816.13530315,6.799744939369517e-19
3595653.957352459,6.807427775756277e-19
3675214.0770740584,6.815148120522378e-19
3756534.6033100914,6.822906164754428e-19
3839654.488127302,6.830702100572791e-19
3924613.545474944,6.838536121137613e-19
4011452.4702553777,6.846408420654828e-19
4100212.8578167055,6.854319194382241e-19
4190937.2238767073,6.862268638635629e-19
4283669.024887647,6.87025695079488e-19
4378452.678851587,6.878284329310178e-19
4475333.586596471,6.886350973708226e-19
4574358.153522784,6.894457084598498e-19
4675573.811831495,6.902602863679538e-19
4779029.0432438245,6.910788513745294e-19
4884773.402223643,6.919014238691484e-19
4992857.53971388,6.927280243522027e-19
5103333.227397969,6.935586734355478e-19
5216253.3824982,6.94393391843153e-19
5331672.093122792,6.952322004117544e-19
5449644.6441737,6.96075120091512e-19
5570227.543827893,6.969221719466712e-19
5693478.550604367,6.977733771562283e-19
5819456.701030158,6.986287570146e-19
5948222.337918539,6.994883329322966e-19
6079837.139272768,7.003521264366001e-19
6214364.147829657,7.012201591722463e-19
6351867.801256583,7.020924529021112e-19
6492413.963016779,7.029690295079008e-19
6636069.953917593,7.038499109908461e-19
6782904.5843566535,7.047351194724018e-19
6932988.187281823,7.0562467719495e-19
7086392.651880169,7.065186065225081e-19
7243191.458012499,7.074169299414398e-19
7403459.711409791,7.08319670061172e-19
7567274.179648448,7.092268496149166e-19
7734713.328921395,7.101384914603937e-19
7905857.361623126,7.110546185805629e-19
8080788.25476607,7.11975254084358e-19
8259589.799247138,7.129004212074237e-19
8442347.639983123,7.138301433128613e-19
8629149.316933978,7.147644438919753e-19
8820084.307034176,7.157033465650262e-19
9015244.067051498,7.16646875081988e-19
9214722.077394348,7.175950533233104e-19
9418613.88688836,7.185479053006846e-19
9627017.1585436,7.195054551578153e-19
9840031.716334803,7.204677271711964e-19
10057759.593016345,7.214347457508929e-19
10280305.07899538,7.224065354413259e-19
10507774.772286398,7.233831209220632e-19
10740277.629570883,7.243645270086151e-19
10977925.018387202,7.253507786532347e-19
11220830.770474851,7.263419009457238e-19
11469111.236299245,7.273379191142427e-19
11722885.34078297,7.283388585261263e-19
11982274.64026996,7.293447446887035e-19
12247403.380750567,7.303556032501236e-19
12518398.55737449,7.31371460000187e-19
12795389.975280778,7.323923408711808e-19
13078510.311773745,7.334182719387195e-19
13367895.179874694,7.344492794225917e-19
13663683.193279559,7.354853896876108e-19
13966016.032754403,7.3652662924447245e-19
14275038.513999477,7.375730247506168e-19
14590898.657015156,7.386246030110946e-19
14913747.75700275,7.396813909794409e-19
15243740.456833785,7.407434157585527e-19
15581034.821123414,7.418107046015735e-19
15925792.411942234,7.428832849127808e-19
16278178.366203647,7.439611842484819e-19
16638361.47476356,7.450444303179136e-19
17006514.263269976,7.461330509841472e-19
